round,algorithm,loss_value,loss_improvement,convergence_rate,stability_metric,fedprox_convergence_bound,async_staleness_factor,theoretical_convergence,timestamp
1,AsyncFL,4.650495872497559,0.0,0.0,1.0,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:22:23.992903
2,AsyncFL,3.703397421836853,0.9470984506607061,0.2557377301923361,0.816827383284598,0.0,3,Staleness-adjusted: 1.000000,2025-08-19T21:22:33.224740
3,AsyncFL,3.330713604092598,0.37268381774425485,0.11189308419862982,0.764155085309728,0.0,1,Staleness-adjusted: 1.000000,2025-08-19T21:22:48.900804
4,AsyncFL,3.181520489692688,0.1491931143999099,0.046893651913686364,0.7536428008158202,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:23:04.657087
5,AsyncFL,3.126013669437832,0.05550682025485587,0.017756422755770596,0.7591258053422593,0.0,3,Staleness-adjusted: 1.000000,2025-08-19T21:23:14.213611
6,AsyncFL,3.046560380458832,0.07945328897900028,0.02607966987578106,0.7652746938047557,0.0,1,Staleness-adjusted: 1.000000,2025-08-19T21:23:32.057820
7,AsyncFL,2.995672754764557,0.05088762569427496,0.016987044266881027,0.9469743879160059,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:23:46.637054
8,AsyncFL,2.8569652805328367,0.13870747423172025,0.04855063349102048,0.9783611387943955,0.0,3,Staleness-adjusted: 1.000000,2025-08-19T21:24:01.857493
9,AsyncFL,2.756910863876343,0.10005441665649384,0.03629222038604932,0.978737469026845,0.0,1,Staleness-adjusted: 1.000000,2025-08-19T21:24:11.626406
10,AsyncFL,2.6125848407745362,0.14432602310180664,0.055242616756139194,0.9698310307230563,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:24:19.480179
