round,algorithm,total_bytes,bytes_per_client,cumulative_bytes,bandwidth_efficiency,compression_ratio,communication_overhead,timestamp
1,AsyncFL,710188,710188.0,710188,1.408077861073406,1.0,0.8,2025-08-19T21:52:48.609112
2,AsyncFL,2841014,710253.5,3551202,0.35198700182399667,1.0,0.8,2025-08-19T21:52:57.628878
3,AsyncFL,4968676,709810.8571428572,8519878,0.20126085902964894,1.0,0.8,2025-08-19T21:53:13.323382
4,AsyncFL,7103638,710363.8,15623516,0.14077293916159578,1.0,0.8,2025-08-19T21:53:26.823870
5,AsyncFL,10653162,710210.8,26276678,0.09386884382308276,1.0,0.8,2025-08-19T21:53:40.101642
6,AsyncFL,10661362,710757.4666666667,36938040,0.09379664624463553,1.0,0.8,2025-08-19T21:53:51.946620
7,AsyncFL,7098882,709888.2,44036922,0.1408672520546193,1.0,0.8,2025-08-19T21:54:06.579100
8,AsyncFL,7103918,710391.8,51140840,0.14076739061458762,1.0,0.8,2025-08-19T21:54:20.131898
9,AsyncFL,3549288,709857.6,54690128,0.28174664890535794,1.0,0.8,2025-08-19T21:54:26.234573
10,AsyncFL,3548658,709731.6,58238786,0.2817966679234798,1.0,0.8,2025-08-19T21:54:33.042193
