round,loss,num_clients,total_examples,timestamp
1,4.664432406425476,1,1600,2025-08-19T21:15:47.817137
2,3.9924784684181214,4,6400,2025-08-19T21:15:57.968478
3,3.661636165380478,8,12800,2025-08-19T21:16:16.852904
4,3.4377944593429564,10,16000,2025-08-19T21:16:31.728498
5,3.3648809629016454,15,14400,2025-08-19T21:16:47.844423
6,3.3053657023111978,15,14400,2025-08-19T21:17:01.440975
7,3.2615339231491087,10,16000,2025-08-19T21:17:17.317319
8,3.1738832497596743,10,16000,2025-08-19T21:17:30.589060
9,3.0574609308242797,5,8000,2025-08-19T21:17:38.953491
10,2.8401347880363463,5,8000,2025-08-19T21:17:46.466561
