round,algorithm,class,tp,fp,fn,tn,timestamp
1,FedAvg,Normal,37,133,272,1058,2025-08-19T21:29:50.222627
1,FedAvg,DDoS,50,180,264,1006,2025-08-19T21:29:50.222627
1,FedAvg,DoS,111,503,181,705,2025-08-19T21:29:50.222627
1,FedAvg,Reconnaissance,20,81,278,1121,2025-08-19T21:29:50.222627
1,FedAvg,Theft,71,314,216,899,2025-08-19T21:29:50.222627
2,FedAvg,Normal,84,328,414,1674,2025-08-19T21:29:56.378868
2,FedAvg,DDoS,133,538,382,1447,2025-08-19T21:29:56.378868
2,FedAvg,DoS,121,515,365,1499,2025-08-19T21:29:56.378868
2,FedAvg,Reconnaissance,60,289,458,1693,2025-08-19T21:29:56.378868
2,FedAvg,Theft,82,350,401,1667,2025-08-19T21:29:56.378868
3,FedAvg,Normal,203,713,822,3262,2025-08-19T21:30:12.983561
3,FedAvg,DDoS,284,1178,662,2876,2025-08-19T21:30:12.983561
3,FedAvg,DoS,193,814,762,3231,2025-08-19T21:30:12.983561
3,FedAvg,Reconnaissance,179,726,865,3230,2025-08-19T21:30:12.983561
3,FedAvg,Theft,163,547,867,3423,2025-08-19T21:30:12.983561
4,FedAvg,Normal,226,798,819,3157,2025-08-19T21:30:26.657924
4,FedAvg,DDoS,261,1106,677,2956,2025-08-19T21:30:26.657924
4,FedAvg,DoS,189,821,802,3188,2025-08-19T21:30:26.657924
4,FedAvg,Reconnaissance,185,752,797,3266,2025-08-19T21:30:26.657924
4,FedAvg,Theft,144,518,900,3438,2025-08-19T21:30:26.657924
5,FedAvg,Normal,315,1196,1238,4751,2025-08-19T21:30:40.907540
5,FedAvg,DDoS,401,1712,1033,4354,2025-08-19T21:30:40.907540
5,FedAvg,DoS,266,1165,1207,4862,2025-08-19T21:30:40.907540
5,FedAvg,Reconnaissance,291,1203,1218,4788,2025-08-19T21:30:40.907540
5,FedAvg,Theft,197,754,1334,5215,2025-08-19T21:30:40.907540
6,FedAvg,Normal,313,1182,1240,4765,2025-08-19T21:30:53.009658
6,FedAvg,DDoS,418,1774,1016,4292,2025-08-19T21:30:53.009658
6,FedAvg,DoS,254,1102,1219,4925,2025-08-19T21:30:53.009658
6,FedAvg,Reconnaissance,301,1241,1208,4750,2025-08-19T21:30:53.009658
6,FedAvg,Theft,186,729,1345,5240,2025-08-19T21:30:53.009658
7,FedAvg,Normal,203,759,837,3201,2025-08-19T21:31:07.074846
7,FedAvg,DDoS,325,1322,644,2709,2025-08-19T21:31:07.074846
7,FedAvg,DoS,159,685,813,3343,2025-08-19T21:31:07.074846
7,FedAvg,Reconnaissance,197,830,799,3174,2025-08-19T21:31:07.074846
7,FedAvg,Theft,112,408,911,3569,2025-08-19T21:31:07.074846
8,FedAvg,Normal,191,765,836,3208,2025-08-19T21:31:25.375080
8,FedAvg,DDoS,252,1175,713,2860,2025-08-19T21:31:25.375080
8,FedAvg,DoS,176,751,790,3283,2025-08-19T21:31:25.375080
8,FedAvg,Reconnaissance,223,875,809,3093,2025-08-19T21:31:25.375080
8,FedAvg,Theft,111,481,899,3509,2025-08-19T21:31:25.375080
9,FedAvg,Normal,100,387,432,1581,2025-08-19T21:31:33.307421
9,FedAvg,DDoS,131,531,345,1493,2025-08-19T21:31:33.307421
9,FedAvg,DoS,73,357,380,1690,2025-08-19T21:31:33.307421
9,FedAvg,Reconnaissance,120,472,427,1481,2025-08-19T21:31:33.307421
9,FedAvg,Theft,67,262,425,1746,2025-08-19T21:31:33.307421
10,FedAvg,Normal,115,392,414,1579,2025-08-19T21:31:40.278879
10,FedAvg,DDoS,148,570,352,1430,2025-08-19T21:31:40.278879
10,FedAvg,DoS,63,325,439,1673,2025-08-19T21:31:40.278879
10,FedAvg,Reconnaissance,105,446,368,1581,2025-08-19T21:31:40.278879
10,FedAvg,Theft,65,271,431,1733,2025-08-19T21:31:40.278879
